,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
78,"Writing on the Wall (feat. Post Malone & Cardi B)","French Montana",1025489,https://open.spotify.com/track/7x9nXsowok1JszkVztI5NI
79,"SICKO MODE","Travis Scott",1024031,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
80,Sucker,"Jonas Brothers",1018362,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
81,Believer,"Imagine Dragons",1008413,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
82,VIBEZ,DaBaby,1008313,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
83,"boyfriend (with Social House)","Ariana Grande",1002188,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
84,"Hollywood's Bleeding","Post Malone",1002129,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
85,"If I Can't Have You","Shawn Mendes",970954,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
86,"Stuck In A Dream (feat. Gunna)","Lil Mosey",966393,https://open.spotify.com/track/5hDAT527wXWNBnJlujhuUs
87,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",959449,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
88,Teeth,"5 Seconds of Summer",957399,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
89,"rockstar (feat. 21 Savage)","Post Malone",953949,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
90,Easy,"Camila Cabello",952749,https://open.spotify.com/track/46D0hYb1B7qiU33VtXt21W
91,I.F.L.Y.,Bazzi,949950,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
92,"when the party's over","Billie Eilish",948952,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
93,Lover,"Taylor Swift",930980,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
94,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",923797,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
95,F.N,"Lil Tjay",916148,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
96,"Con Calma","Daddy Yankee",915298,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
97,"Talk (feat. Disclosure)",Khalid,912798,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
98,"Shape of You","Ed Sheeran",908563,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
